price,furnishingstatus_Encoded,area_z,bedrooms_z,bathrooms_z,stories_z,parking_z,Area_Type,mainroad_yes,guestroom_yes,basement_yes,hotwaterheating_yes,airconditioning_yes,prefarea_yes
13300000,2.0,1.0467262882352133,1.4034193573588298,1.4218117367065486,1.3782169202337835,1.5176924895404067,Medium,True,False,False,False,True,True
12250000,2.0,1.7570095257333957,1.4034193573588298,5.405808633904846,2.53202371213457,2.679409353022881,Large,True,False,False,False,True,False
12250000,1.0,2.218232407225722,0.047278311684073836,1.4218117367065486,0.22441012833299692,1.5176924895404067,Large,True,False,True,False,False,True
12215000,2.0,1.0836241187545992,1.4034193573588298,1.4218117367065486,0.22441012833299692,2.679409353022881,Medium,True,False,True,False,True,True
11410000,2.0,1.0467262882352133,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,Medium,True,True,True,False,True,False
10850000,1.0,1.0836241187545992,0.047278311684073836,3.4138101853056977,-0.9293966635677897,1.5176924895404067,Medium,True,False,True,False,True,True
10150000,1.0,1.5817448307663118,1.4034193573588298,3.4138101853056977,2.53202371213457,1.5176924895404067,Medium,True,False,False,False,True,True
10150000,0.0,5.096263187737839,2.7595604030335856,3.4138101853056977,0.22441012833299692,-0.8057412374245417,Luxury,True,False,False,False,False,False
9870000,2.0,1.3603578476499951,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,Medium,True,True,True,False,True,True
9800000,0.0,0.2764840761430282,0.047278311684073836,1.4218117367065486,2.53202371213457,0.35597562605793237,Medium,True,True,False,False,True,True
9800000,2.0,3.712594543260859,0.047278311684073836,-0.5701867118926005,0.22441012833299692,1.5176924895404067,Luxury,True,False,True,False,True,True
9681000,1.0,0.39178979651610985,1.4034193573588298,3.4138101853056977,0.22441012833299692,1.5176924895404067,Medium,True,True,True,True,False,False
9310000,1.0,0.6454623813368893,1.4034193573588298,1.4218117367065486,0.22441012833299692,0.35597562605793237,Medium,True,False,False,False,True,True
9240000,2.0,-0.761267407214706,1.4034193573588298,1.4218117367065486,0.22441012833299692,1.5176924895404067,Small,True,False,False,True,False,False
9240000,1.0,1.2219909832022973,0.047278311684073836,1.4218117367065486,0.22441012833299692,-0.8057412374245417,Medium,True,False,False,False,False,True
9100000,1.0,0.39178979651610985,1.4034193573588298,-0.5701867118926005,0.22441012833299692,1.5176924895404067,Medium,True,False,True,False,False,False
9100000,0.0,0.6685235254115056,1.4034193573588298,1.4218117367065486,0.22441012833299692,0.35597562605793237,Medium,True,True,True,False,True,True
8960000,2.0,1.5448470002469257,0.047278311684073836,1.4218117367065486,2.53202371213457,1.5176924895404067,Medium,True,False,False,False,True,False
8890000,2.0,-0.253922237573147,0.047278311684073836,1.4218117367065486,0.22441012833299692,1.5176924895404067,Small,True,True,False,False,True,False
8855000,1.0,0.5855034067428869,0.047278311684073836,1.4218117367065486,0.22441012833299692,0.35597562605793237,Medium,True,False,False,False,True,True
8750000,1.0,-0.3830646443909984,0.047278311684073836,-0.5701867118926005,0.22441012833299692,1.5176924895404067,Small,True,False,True,True,False,False
8680000,0.0,0.9245022246397467,0.047278311684073836,1.4218117367065486,-0.9293966635677897,1.5176924895404067,Medium,True,True,True,False,True,False
8645000,2.0,1.3372967035753787,0.047278311684073836,-0.5701867118926005,-0.9293966635677897,0.35597562605793237,Medium,True,True,True,False,True,False
8645000,2.0,-0.2723711528328401,0.047278311684073836,1.4218117367065486,0.22441012833299692,0.35597562605793237,Small,True,True,True,False,True,False
8575000,2.0,1.6832138646946235,0.047278311684073836,1.4218117367065486,0.22441012833299692,1.5176924895404067,Medium,True,False,False,False,True,False
8540000,2.0,0.6408501525219661,1.4034193573588298,1.4218117367065486,0.22441012833299692,1.5176924895404067,Medium,True,True,True,False,True,True
8463000,1.0,0.39178979651610985,0.047278311684073836,1.4218117367065486,2.53202371213457,-0.8057412374245417,Medium,True,True,True,False,True,True
8400000,1.0,1.717805580806548,0.047278311684073836,-0.5701867118926005,-0.9293966635677897,0.35597562605793237,Medium,True,False,False,False,False,False
8400000,0.0,1.2911744154261462,2.7595604030335856,1.4218117367065486,0.22441012833299692,1.5176924895404067,Medium,True,False,True,True,False,False
